y,x1,x2
-1161,-257,-904
-1111,-790,-321
-1044,-965,-79
-1210,-810,-400
-1886,-991,-895
-755,-258,-497
-1080,-227,-853
-1236,-599,-637
-959,-333,-626
-1117,-881,-236
-1080,-751,-329
-1160,-210,-950
-1140,-858,-282
-1010,-910,-100
-1085,-369,-716
-1626,-694,-932
-980,-787,-193
-1019,-495,-524
-1052,-445,-607
-1406,-868,-538
-1549,-683,-866
-733,-629,-104
-1468,-898,-570
-968,-712,-256
-562,-356,-206
-929,-627,-302
-673,-148,-525
-1147,-355,-792
-460,-240,-220
-1068,-531,-537
-346,-114,-232
-1128,-558,-570
-928,-149,-779
-733,-109,-624
-1080,-640,-440
-291,-269,-22
-1087,-139,-948
-751,-494,-257
-499,-266,-233
-1198,-836,-362
-1044,-567,-477
-321,-88,-233
-991,-23,-968
-1129,-835,-294
-1113,-646,-467
-1241,-292,-949
-732,-688,-44
-1559,-822,-737
-1475,-947,-528
-816,-652,-164
-693,-569,-124
-538,-262,-276
-1721,-959,-762
-631,-362,-269
-992,-938,-54
-825,-172,-653
-970,-411,-559
-716,-585,-131
-695,-669,-26
-1795,-860,-935
-771,-302,-469
-681,-574,-107
-814,-111,-703
-802,-598,-204
-1312,-611,-701
-1633,-830,-803
-382,-10,-372
-614,-568,-46
-889,-154,-735
-989,-978,-11
-446,-366,-80
-1602,-805,-797
-402,-54,-348
-997,-794,-203
-909,-781,-128
-1193,-593,-600
-1815,-977,-838
-966,-221,-745
-551,-297,-254
-1234,-480,-754
-935,-506,-429
-640,-457,-183
-1670,-827,-843
-543,-432,-111
-1071,-656,-415
-1184,-682,-502
-720,-578,-142
-199,-168,-31
-1337,-600,-737
-739,-728,-11
-1505,-980,-525
-703,-81,-622
-655,-269,-386
-816,-219,-597
-698,-505,-193
-937,-525,-412
-607,-483,-124
-1687,-841,-846
-1109,-573,-536
-1012,-617,-395
-1340,-958,-382
-1081,-729,-352
-348,-152,-196
-1393,-641,-752
-1133,-520,-613
-739,-314,-425
-1830,-943,-887
-676,-353,-323
-1707,-874,-833
-652,-452,-200
-1259,-390,-869
